Line (1599) SphygmoCor Log File 9 ~ 04/08/2009 ~ 16:33:10                                                                                                                                                                                      
1 04/08/2009 ~ 16:50:46 ~ SCOR-CvMS 9 Start - FDS 14721300, DBS 40298,  TPM 515564, APM 143960, ML 72   00050                                                                                                                                  
18 05/08/2009 ~ 10:59:23 ~ SCOR-CvMS 9 End - FDS 14720544, DBS 40298,  TPM 515564, APM 125144, ML 75   00050                                                                                                                                   
19 05/08/2009 ~ 11:04:50 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 136308, ML 73   00050                                                                                                                                 
20 05/08/2009 ~ 11:14:08 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 110012, ML 78   00050                                                                                                                                   
21 05/08/2009 ~ 11:15:48 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 135576, ML 73   00050                                                                                                                                 
22 05/08/2009 ~ 11:16:39 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 117172, ML 77   00050                                                                                                                                   
23 05/08/2009 ~ 11:20:11 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 133692, ML 74   00050                                                                                                                                 
24 05/08/2009 ~ 11:21:09 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 117548, ML 77   00050                                                                                                                                   
25 05/08/2009 ~ 11:23:20 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 132456, ML 74   00050                                                                                                                                 
26 05/08/2009 ~ 11:23:56 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 114984, ML 77   00050                                                                                                                                   
27 05/08/2009 ~ 11:29:21 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 130724, ML 74   00050                                                                                                                                 
28 05/08/2009 ~ 11:34:17 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 116028, ML 77   00050                                                                                                                                   
29 05/08/2009 ~ 11:39:14 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 126180, ML 75   00050                                                                                                                                 
30 05/08/2009 ~ 11:46:33 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 112976, ML 78   00050                                                                                                                                   
31 05/08/2009 ~ 11:48:40 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 126504, ML 75   00050                                                                                                                                 
32 05/08/2009 ~ 11:54:05 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 112736, ML 78   00050                                                                                                                                   
33 05/08/2009 ~ 11:55:59 ~ SCOR-CvMS 9 Start - FDS 14720540, DBS 40298,  TPM 515564, APM 133876, ML 74   00050                                                                                                                                 
34 05/08/2009 ~ 11:56:47 ~ SCOR-CvMS 9 End - FDS 14720540, DBS 40298,  TPM 515564, APM 116268, ML 77   00050                                                                                                                                   
35 05/08/2009 ~ 11:58:26 ~ SCOR-CvMS 9 Start - FDS 14720536, DBS 40298,  TPM 515564, APM 131452, ML 74   00050                                                                                                                                 
36 05/08/2009 ~ 12:03:27 ~ SCOR-CvMS 9 End - FDS 14720536, DBS 40298,  TPM 515564, APM 114700, ML 77   00050                                                                                                                                   
37 05/08/2009 ~ 12:05:03 ~ SCOR-CvMS 9 Start - FDS 14720536, DBS 40298,  TPM 515564, APM 131708, ML 74   00050                                                                                                                                 
38 05/08/2009 ~ 12:05:40 ~ SCOR-CvMS 9 End - FDS 14720536, DBS 40298,  TPM 515564, APM 116900, ML 77   00050                                                                                                                                   
39 05/08/2009 ~ 12:07:24 ~ SCOR-CvMS 9 Start - FDS 14720536, DBS 40298,  TPM 515564, APM 151168, ML 70   00050                                                                                                                                 
40 05/08/2009 ~ 13:04:43 ~ SCOR-CvMS 9 End - FDS 14720428, DBS 40298,  TPM 515564, APM 248868, ML 51   00050                                                                                                                                   
41 05/08/2009 ~ 14:58:41 ~ SCOR-CvMS 9 Start - FDS 14699316, DBS 40298,  TPM 515564, APM 132364, ML 74   00050                                                                                                                                 
42 05/08/2009 ~ 15:06:39 ~ SCOR-CvMS 9 End - FDS 14698104, DBS 40298,  TPM 515564, APM 111560, ML 78   00050                                                                                                                                   
43 05/08/2009 ~ 15:08:33 ~ SCOR-CvMS 9 Start - FDS 14698104, DBS 40298,  TPM 515564, APM 94940, ML 81   00050                                                                                                                                  
44 05/08/2009 ~ 15:13:09 ~ SCOR-CvMS 9 End - FDS 14698104, DBS 40298,  TPM 515564, APM 107352, ML 79   00050                                                                                                                                   
45 05/08/2009 ~ 15:20:23 ~ SCOR-CvMS 9 Start - FDS 14698100, DBS 40298,  TPM 515564, APM 130816, ML 74   00050                                                                                                                                 
46 05/08/2009 ~ 15:21:47 ~ SCOR-CvMS 9 End - FDS 14698100, DBS 40298,  TPM 515564, APM 116536, ML 77   00050                                                                                                                                   
47 05/08/2009 ~ 15:48:26 ~ SCOR-CvMS 9 Start - FDS 14698100, DBS 40298,  TPM 515564, APM 119608, ML 76   00050                                                                                                                                 
48 05/08/2009 ~ 15:50:26 ~ SCOR-CvMS 9 End - FDS 14697964, DBS 40298,  TPM 515564, APM 107072, ML 79   00050                                                                                                                                   
49 05/08/2009 ~ 16:00:58 ~ SCOR-CvMS 9 Start - FDS 14697968, DBS 40298,  TPM 515564, APM 119548, ML 76   00050                                                                                                                                 
50 05/08/2009 ~ 16:09:19 ~ SCOR-CvMS 9 End - FDS 14697968, DBS 40298,  TPM 515564, APM 106400, ML 79   00050                                                                                                                                   
51 05/08/2009 ~ 16:14:40 ~ SCOR-CvMS 9 Start - FDS 14697872, DBS 40298,  TPM 515564, APM 118520, ML 77   00050                                                                                                                                 
52 05/08/2009 ~ 16:16:37 ~ SCOR-CvMS 9 End - FDS 14697868, DBS 40298,  TPM 515564, APM 104812, ML 79   00050                                                                                                                                   
53 05/08/2009 ~ 16:23:21 ~ SCOR-CvMS 9 Start - FDS 14697864, DBS 40298,  TPM 515564, APM 103020, ML 80   00050                                                                                                                                 
54 05/08/2009 ~ 16:25:25 ~ SCOR-CvMS 9 End - FDS 14697864, DBS 40298,  TPM 515564, APM 93616, ML 81   00050                                                                                                                                    
55 05/08/2009 ~ 16:25:52 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14697864, DBS 40298,  TPM 515564, APM 116380, ML 77   00050                                                                                                                      
56 05/08/2009 ~ 16:26:19 ~ SCOR-CvMS 9 (Clinical) End - FDS 14697864, DBS 40298,  TPM 515564, APM 104944, ML 79   00050                                                                                                                        
57 05/08/2009 ~ 16:31:51 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14697864, DBS 40298,  TPM 515564, APM 54644, ML 89   00050                                                                                                                       
58 05/08/2009 ~ 16:33:50 ~ SCOR-CvMS 9 (Clinical) End - FDS 14697864, DBS 40298,  TPM 515564, APM 85032, ML 83   00050                                                                                                                         
59 05/08/2009 ~ 16:47:08 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14697896, DBS 40298,  TPM 515564, APM 116364, ML 77   00050                                                                                                                      
60 05/08/2009 ~ 16:51:45 ~ SCOR-CvMS 9 (Clinical) End - FDS 14696232, DBS 40298,  TPM 515564, APM 80460, ML 84   00050                                                                                                                         
61 07/08/2009 ~ 11:38:40 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14673208, DBS 40298,  TPM 515564, APM 153588, ML 70   00050                                                                                                                      
62 07/08/2009 ~ 11:44:42 ~ SCOR-CvMS 9 (Clinical) End - FDS 14673208, DBS 40298,  TPM 515564, APM 142084, ML 72   00050                                                                                                                        
63 07/08/2009 ~ 11:46:04 ~ SCOR-CvMS 9 Start - FDS 14673208, DBS 40298,  TPM 515564, APM 142052, ML 72   00050                                                                                                                                 
64 07/08/2009 ~ 11:56:06 ~ SCOR-CvMS 9 End - FDS 14673208, DBS 40298,  TPM 515564, APM 104052, ML 79   00050                                                                                                                                   
65 07/08/2009 ~ 11:58:06 ~ SCOR-CvMS 9 Start - FDS 14673200, DBS 40298,  TPM 515564, APM 140536, ML 72   00050                                                                                                                                 
66 07/08/2009 ~ 11:58:34 ~ SCOR-CvMS 9 End - FDS 14673200, DBS 40298,  TPM 515564, APM 130412, ML 74   00050                                                                                                                                   
67 07/08/2009 ~ 11:59:23 ~ SCOR-CvMS 9 Start - FDS 14673200, DBS 40298,  TPM 515564, APM 140084, ML 72   00050                                                                                                                                 
68 07/08/2009 ~ 12:03:43 ~ SCOR-CvMS 9 End - FDS 14673200, DBS 40298,  TPM 515564, APM 125768, ML 75   00050                                                                                                                                   
69 07/08/2009 ~ 12:05:23 ~ SCOR-CvMS 9 Start - FDS 14673196, DBS 40298,  TPM 515564, APM 140420, ML 72   00050                                                                                                                                 
70 07/08/2009 ~ 12:06:56 ~ SCOR-CvMS 9 End - FDS 14673196, DBS 40298,  TPM 515564, APM 129560, ML 74   00050                                                                                                                                   
71 07/08/2009 ~ 14:12:41 ~ SCOR-CvMS 9 Start - FDS 14608376, DBS 40298,  TPM 515564, APM 98604, ML 80   00050                                                                                                                                  
72 07/08/2009 ~ 14:15:02 ~ SCOR-CvMS 9 End - FDS 14608376, DBS 40298,  TPM 515564, APM 63488, ML 87   00050                                                                                                                                    
73 07/08/2009 ~ 14:31:20 ~ SCOR-CvMS 9 Start - FDS 14608380, DBS 40298,  TPM 515564, APM 79020, ML 84   00050                                                                                                                                  
74 07/08/2009 ~ 14:55:37 ~ SCOR-CvMS 9 End - FDS 14608380, DBS 40298,  TPM 515564, APM 222240, ML 56   00050                                                                                                                                   
75 07/08/2009 ~ 14:56:40 ~ SCOR-CvMS 9 Start - FDS 14608380, DBS 40298,  TPM 515564, APM 197876, ML 61   00050                                                                                                                                 
76 07/08/2009 ~ 14:58:03 ~ SCOR-CvMS 9 End - FDS 14608380, DBS 40298,  TPM 515564, APM 177856, ML 65   00050                                                                                                                                   
77 07/08/2009 ~ 14:58:17 ~ SCOR-CvMS 9 Start - FDS 14608380, DBS 40298,  TPM 515564, APM 187416, ML 63   00050                                                                                                                                 
78 07/08/2009 ~ 14:58:51 ~ SCOR-CvMS 9 End - FDS 14608380, DBS 40298,  TPM 515564, APM 171100, ML 66   00050                                                                                                                                   
79 07/08/2009 ~ 14:59:03 ~ SCOR-CvMS 9 Start - FDS 14608380, DBS 40298,  TPM 515564, APM 190252, ML 63   00050                                                                                                                                 
80 07/08/2009 ~ 15:04:10 ~ SCOR-CvMS 9 End - FDS 14608380, DBS 40298,  TPM 515564, APM 148852, ML 71   00050                                                                                                                                   
81 07/08/2009 ~ 16:07:12 ~ SCOR-CvMS 9 Start - FDS 14607700, DBS 40298,  TPM 515564, APM 56064, ML 89   00050                                                                                                                                  
82 07/08/2009 ~ 16:07:32 ~ Error  (#710): Configuration Error : Upper Pressure Sensitivity value is out of range [400,4000]                                                                                                                    
83 07/08/2009 ~ 16:08:14 ~ SCOR-CvMS 9 End - FDS 14607700, DBS 40298,  TPM 515564, APM 47128, ML 90   00050                                                                                                                                    
84 07/08/2009 ~ 16:08:55 ~ SCOR-CvMS 9 Start - FDS 14607700, DBS 40298,  TPM 515564, APM 130952, ML 74   00050                                                                                                                                 
85 07/08/2009 ~ 16:09:18 ~ Error  (#704): Configuration Error : Quality control value is out of range [70,180]                                                                                                                                 
86 07/08/2009 ~ 16:09:28 ~ Error  (#704): Configuration Error : Quality control value is out of range [1,15]                                                                                                                                   
87 07/08/2009 ~ 16:09:35 ~ Error  (#704): Configuration Error : Quality control value is out of range [1,20]                                                                                                                                   
88 07/08/2009 ~ 16:13:12 ~ SCOR-CvMS 9 End - FDS 14607696, DBS 40298,  TPM 515564, APM 115180, ML 77   00050                                                                                                                                   
89 10/08/2009 ~ 10:37:40 ~ SCOR-CvMS 9 Start - FDS 14601952, DBS 40298,  TPM 515564, APM 70076, ML 86   00050                                                                                                                                  
90 10/08/2009 ~ 10:39:45 ~ SCOR-CvMS 9 End - FDS 14601920, DBS 40298,  TPM 515564, APM 79296, ML 84   00050                                                                                                                                    
91 10/08/2009 ~ 11:53:28 ~ SCOR-CvMS 9 Start - FDS 14601452, DBS 40298,  TPM 515564, APM 92992, ML 81   00050                                                                                                                                  
92 10/08/2009 ~ 12:36:30 ~ SCOR-CvMS 9 End - FDS 14601384, DBS 40298,  TPM 515564, APM 68892, ML 86   00050                                                                                                                                    
93 10/08/2009 ~ 14:29:40 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14601356, DBS 40298,  TPM 515564, APM 154916, ML 69   00050                                                                                                                      
94 10/08/2009 ~ 14:31:15 ~ SCOR-CvMS 9 (Clinical) End - FDS 14601356, DBS 40298,  TPM 515564, APM 143424, ML 72   00050                                                                                                                        
95 10/08/2009 ~ 14:39:10 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14601324, DBS 40298,  TPM 515564, APM 164984, ML 67   00050                                                                                                                      
96 10/08/2009 ~ 14:55:13 ~ SCOR-CvMS 9 (Clinical) End - FDS 14601324, DBS 40298,  TPM 515564, APM 138676, ML 73   00050                                                                                                                        
97 10/08/2009 ~ 14:56:45 ~ SCOR-CvMS 9 Start - FDS 14601324, DBS 40298,  TPM 515564, APM 149704, ML 70   00050                                                                                                                                 
98 10/08/2009 ~ 14:57:26 ~ SCOR-CvMS 9 End - FDS 14601324, DBS 40298,  TPM 515564, APM 134980, ML 73   00050                                                                                                                                   
99 10/08/2009 ~ 14:58:32 ~ SCOR-CvMS 9 Start - FDS 14601324, DBS 40298,  TPM 515564, APM 149212, ML 71   00050                                                                                                                                 
100 10/08/2009 ~ 14:58:58 ~ SCOR-CvMS 9 End - FDS 14601324, DBS 40298,  TPM 515564, APM 137260, ML 73   00050                                                                                                                                  
101 10/08/2009 ~ 15:00:03 ~ SCOR-CvMS 9 Start - FDS 14601324, DBS 40298,  TPM 515564, APM 149060, ML 71   00050                                                                                                                                
102 10/08/2009 ~ 15:12:40 ~ SCOR-CvMS 9 End - FDS 14601800, DBS 40298,  TPM 515564, APM 127224, ML 75   00050                                                                                                                                  
103 10/08/2009 ~ 15:23:11 ~ SCOR-CvMS 9 Start - FDS 14601760, DBS 40298,  TPM 515564, APM 92528, ML 82   00050                                                                                                                                 
104 10/08/2009 ~ 15:38:41 ~ SCOR-CvMS 9 End - FDS 14601760, DBS 40298,  TPM 515564, APM 156012, ML 69   00050                                                                                                                                  
105 10/08/2009 ~ 15:39:33 ~ SCOR-CvMS 9 Start - FDS 14601760, DBS 40298,  TPM 515564, APM 90968, ML 82   00050                                                                                                                                 
106 10/08/2009 ~ 15:56:09 ~ SCOR-CvMS 9 End - FDS 14601760, DBS 40298,  TPM 515564, APM 223804, ML 56   00050                                                                                                                                  
107 10/08/2009 ~ 15:56:43 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14601760, DBS 40298,  TPM 515564, APM 219012, ML 57   00050                                                                                                                     
108 10/08/2009 ~ 16:07:23 ~ SCOR-CvMS 9 (Clinical) End - FDS 14565728, DBS 40298,  TPM 515564, APM 191284, ML 62   00050                                                                                                                       
109 10/08/2009 ~ 16:12:38 ~ SCOR-CvMS 9 Start - FDS 14565728, DBS 40298,  TPM 515564, APM 119220, ML 76   00050                                                                                                                                
110 10/08/2009 ~ 16:16:11 ~ SCOR-CvMS 9 End - FDS 14565728, DBS 40298,  TPM 515564, APM 147208, ML 71   00050                                                                                                                                  
111 10/08/2009 ~ 16:16:58 ~ SCOR-CvMS 9 Start - FDS 14565728, DBS 40298,  TPM 515564, APM 157932, ML 69   00050                                                                                                                                
112 10/08/2009 ~ 16:17:27 ~ SCOR-CvMS 9 End - FDS 14565728, DBS 40298,  TPM 515564, APM 144856, ML 71   00050                                                                                                                                  
113 10/08/2009 ~ 16:18:20 ~ SCOR-CvMS 9 Start - FDS 14565728, DBS 40298,  TPM 515564, APM 155244, ML 69   00050                                                                                                                                
114 10/08/2009 ~ 16:19:31 ~ SCOR-CvMS 9 End - FDS 14565728, DBS 40298,  TPM 515564, APM 141620, ML 72   00050                                                                                                                                  
115 10/08/2009 ~ 16:21:29 ~ SCOR-CvMS 9 Start - FDS 14565556, DBS 40298,  TPM 515564, APM 153576, ML 70   00050                                                                                                                                
116 10/08/2009 ~ 16:24:59 ~ SCOR-CvMS 9 End - FDS 14565556, DBS 40298,  TPM 515564, APM 139616, ML 72   00050                                                                                                                                  
117 10/08/2009 ~ 16:26:24 ~ SCOR-CvMS 9 Start - FDS 14565556, DBS 40298,  TPM 515564, APM 152444, ML 70   00050                                                                                                                                
118 10/08/2009 ~ 16:30:08 ~ SCOR-CvMS 9 End - FDS 14558276, DBS 40298,  TPM 515564, APM 138812, ML 73   00050                                                                                                                                  
119 10/08/2009 ~ 16:30:26 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14558276, DBS 40298,  TPM 515564, APM 151456, ML 70   00050                                                                                                                     
120 10/08/2009 ~ 16:32:50 ~ SCOR-CvMS 9 (Clinical) End - FDS 14558272, DBS 40298,  TPM 515564, APM 137892, ML 73   00050                                                                                                                       
121 10/08/2009 ~ 16:45:15 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14558272, DBS 40298,  TPM 515564, APM 142108, ML 72   00050                                                                                                                     
122 10/08/2009 ~ 16:47:22 ~ SCOR-CvMS 9 (Clinical) End - FDS 14558272, DBS 40298,  TPM 515564, APM 130968, ML 74   00050                                                                                                                       
123 10/08/2009 ~ 16:48:11 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14558272, DBS 40298,  TPM 515564, APM 140276, ML 72   00050                                                                                                                     
124 10/08/2009 ~ 16:50:13 ~ SCOR-CvMS 9 (Clinical) End - FDS 14558136, DBS 40298,  TPM 515564, APM 112720, ML 78   00050                                                                                                                       
125 11/08/2009 ~ 11:25:33 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14528132, DBS 40298,  TPM 515564, APM 58852, ML 88   00050                                                                                                                      
126 11/08/2009 ~ 11:36:44 ~ SCOR-CvMS 9 (Clinical) End - FDS 14528132, DBS 40298,  TPM 515564, APM 140704, ML 72   00050                                                                                                                       
127 11/08/2009 ~ 12:01:35 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14527576, DBS 40298,  TPM 515564, APM 87748, ML 82   00050                                                                                                                      
128 11/08/2009 ~ 12:05:32 ~ SCOR-CvMS 9 (Clinical) End - FDS 14527576, DBS 40298,  TPM 515564, APM 43472, ML 91   00050                                                                                                                        
129 11/08/2009 ~ 12:17:05 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14527596, DBS 40298,  TPM 515564, APM 123972, ML 75   00050                                                                                                                     
130 11/08/2009 ~ 12:20:45 ~ SCOR-CvMS 9 (Clinical) End - FDS 14527596, DBS 40298,  TPM 515564, APM 106244, ML 79   00050                                                                                                                       
131 11/08/2009 ~ 12:22:30 ~ SCOR-CvMS 9 Start - FDS 14527592, DBS 40298,  TPM 515564, APM 108168, ML 79   00050                                                                                                                                
132 11/08/2009 ~ 12:28:30 ~ SCOR-CvMS 9 End - FDS 14527592, DBS 40298,  TPM 515564, APM 90132, ML 82   00050                                                                                                                                   
133 11/08/2009 ~ 12:57:03 ~ SCOR-CvMS 9 Start - FDS 14527592, DBS 40298,  TPM 515564, APM 93484, ML 81   00050                                                                                                                                 
134 11/08/2009 ~ 13:32:49 ~ SCOR-CvMS 9 End - FDS 14527560, DBS 40298,  TPM 515564, APM 137668, ML 73   00050                                                                                                                                  
135 11/08/2009 ~ 14:21:02 ~ SCOR-CvMS 9 Start - FDS 14514860, DBS 40298,  TPM 515564, APM 149488, ML 71   00050                                                                                                                                
136 11/08/2009 ~ 14:23:07 ~ SCOR-CvMS 9 End - FDS 14514748, DBS 40298,  TPM 515564, APM 126540, ML 75   00050                                                                                                                                  
137 11/08/2009 ~ 14:40:26 ~ SCOR-CvMS 9 End - FDS 14514904, DBS 40298,  TPM 515564, APM 64500, ML 87   00050                                                                                                                                   
138 11/08/2009 ~ 14:40:59 ~ SCOR-CvMS 9 Start - FDS 14514904, DBS 40298,  TPM 515564, APM 62256, ML 87   00050                                                                                                                                 
139 11/08/2009 ~ 14:43:49 ~ SCOR-CvMS 9 End - FDS 14514904, DBS 40298,  TPM 515564, APM 93308, ML 81   00050                                                                                                                                   
140 11/08/2009 ~ 14:44:53 ~ SCOR-CvMS 9 Start - FDS 14514904, DBS 40298,  TPM 515564, APM 98312, ML 80   00050                                                                                                                                 
141 11/08/2009 ~ 14:45:50 ~ SCOR-CvMS 9 End - FDS 14514320, DBS 40298,  TPM 515564, APM 84952, ML 83   00050                                                                                                                                   
142 11/08/2009 ~ 14:49:27 ~ SCOR-CvMS 9 Start - FDS 14514384, DBS 40298,  TPM 515564, APM 96000, ML 81   00050                                                                                                                                 
143 11/08/2009 ~ 14:52:57 ~ Successful PWA measurement for Patient :313, Measurement :11/08/2009 2:52:56 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
144 11/08/2009 ~ 14:53:13 ~ SCOR-CvMS 9 End - FDS 14514320, DBS 40298,  TPM 515564, APM 102452, ML 80   00050                                                                                                                                  
145 11/08/2009 ~ 15:22:41 ~ SCOR-CvMS 9 Start - FDS 14513732, DBS 40298,  TPM 515564, APM 86996, ML 83   00050                                                                                                                                 
146 11/08/2009 ~ 15:26:48 ~ Successful PWA measurement for Patient :313, Measurement :11/08/2009 3:26:46 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
147 11/08/2009 ~ 15:28:38 ~ Successful PWA measurement for Patient :313, Measurement :11/08/2009 3:28:37 PM, DataRevision :130 , CaptureTime 00:00:24                                                                                          
148 11/08/2009 ~ 15:31:29 ~ SCOR-CvMS 9 End - FDS 14513692, DBS 40298,  TPM 515564, APM 163372, ML 68   00050                                                                                                                                  
149 11/08/2009 ~ 15:32:52 ~ SCOR-CvMS 9 Start - FDS 14513692, DBS 40298,  TPM 515564, APM 180472, ML 64   00050                                                                                                                                
150 11/08/2009 ~ 15:34:00 ~ SCOR-CvMS 9 End - FDS 14513692, DBS 40298,  TPM 515564, APM 169620, ML 67   00050                                                                                                                                  
151 11/08/2009 ~ 15:35:26 ~ SCOR-CvMS 9 Start - FDS 14513692, DBS 40298,  TPM 515564, APM 176804, ML 65   00050                                                                                                                                
152 11/08/2009 ~ 15:36:27 ~ SCOR-CvMS 9 End - FDS 14513692, DBS 40298,  TPM 515564, APM 166488, ML 67   00050                                                                                                                                  
153 11/08/2009 ~ 15:37:42 ~ SCOR-CvMS 9 Start - FDS 14513692, DBS 40298,  TPM 515564, APM 175688, ML 65   00050                                                                                                                                
154 11/08/2009 ~ 15:40:46 ~ SCOR-CvMS 9 End - FDS 14513688, DBS 40298,  TPM 515564, APM 167044, ML 67   00050                                                                                                                                  
155 11/08/2009 ~ 15:42:00 ~ SCOR-CvMS 9 Start - FDS 14513688, DBS 40298,  TPM 515564, APM 176328, ML 65   00050                                                                                                                                
156 11/08/2009 ~ 15:43:00 ~ Successful PWA measurement for Patient :313, Measurement :11/08/2009 3:42:59 PM, DataRevision :130 , CaptureTime 00:00:14                                                                                          
157 11/08/2009 ~ 15:43:59 ~ SCOR-CvMS 9 End - FDS 14512588, DBS 40298,  TPM 515564, APM 158956, ML 69   00050                                                                                                                                  
158 11/08/2009 ~ 15:47:51 ~ SCOR-CvMS 9 Start - FDS 14512512, DBS 40298,  TPM 515564, APM 100276, ML 80   00050                                                                                                                                
159 11/08/2009 ~ 15:49:56 ~ SCOR-CvMS 9 End - FDS 14512512, DBS 40298,  TPM 515564, APM 75608, ML 85   00050                                                                                                                                   
160 11/08/2009 ~ 15:54:20 ~ SCOR-CvMS 9 Start - FDS 14512512, DBS 40298,  TPM 515564, APM 78628, ML 84   00050                                                                                                                                 
161 11/08/2009 ~ 16:02:34 ~ SCOR-CvMS 9 End - FDS 14512436, DBS 40298,  TPM 515564, APM 61300, ML 88   00050                                                                                                                                   
162 11/08/2009 ~ 16:03:26 ~ SCOR-CvMS 9 Start - FDS 14512436, DBS 40298,  TPM 515564, APM 59656, ML 88   00050                                                                                                                                 
163 11/08/2009 ~ 16:07:10 ~ Successful PWA measurement for Patient :313, Measurement :11/08/2009 4:07:08 PM, DataRevision :130 , CaptureTime 00:00:14                                                                                          
164 11/08/2009 ~ 16:09:44 ~ SCOR-CvMS 9 End - FDS 14512436, DBS 40298,  TPM 515564, APM 164840, ML 68   00050                                                                                                                                  
165 11/08/2009 ~ 16:10:41 ~ SCOR-CvMS 9 Start - FDS 14512436, DBS 40298,  TPM 515564, APM 206280, ML 59   00050                                                                                                                                
166 11/08/2009 ~ 16:12:21 ~ Successful PWA measurement for Patient :313, Measurement :11/08/2009 4:12:20 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
