Line (0874) SphygmoCor Log File 9 ~ 06-08-2010 ~ 11:47:44                                                                                                                                                                                      
1 06-08-2010 ~ 11:47:45 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
20 06-08-2010 ~ 11:48:10 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
21 06-08-2010 ~ 11:48:11 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
22 06-08-2010 ~ 11:48:13 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
23 06-08-2010 ~ 11:48:13 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
24 06-08-2010 ~ 11:48:16 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
25 06-08-2010 ~ 11:48:17 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
26 06-08-2010 ~ 11:48:17 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
27 06-08-2010 ~ 11:48:20 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
28 06-08-2010 ~ 11:48:21 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
29 06-08-2010 ~ 11:48:22 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
30 06-08-2010 ~ 11:48:23 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
31 06-08-2010 ~ 11:48:24 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
32 06-08-2010 ~ 11:48:26 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
33 06-08-2010 ~ 11:48:27 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
34 06-08-2010 ~ 11:48:28 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
35 06-08-2010 ~ 11:48:31 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
36 06-08-2010 ~ 11:48:31 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
37 06-08-2010 ~ 11:48:32 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
38 06-08-2010 ~ 11:48:34 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
39 06-08-2010 ~ 11:48:34 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
40 06-08-2010 ~ 11:48:37 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
41 06-08-2010 ~ 11:48:38 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
42 06-08-2010 ~ 11:48:38 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
43 06-08-2010 ~ 11:48:41 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
44 06-08-2010 ~ 11:48:42 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
45 06-08-2010 ~ 11:48:43 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
46 06-08-2010 ~ 11:48:44 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
47 06-08-2010 ~ 11:48:45 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
48 06-08-2010 ~ 11:48:47 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
49 06-08-2010 ~ 11:48:48 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
50 06-08-2010 ~ 11:48:49 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
51 06-08-2010 ~ 11:48:52 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
52 06-08-2010 ~ 11:48:52 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
53 06-08-2010 ~ 11:48:53 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
54 06-08-2010 ~ 11:48:55 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
55 06-08-2010 ~ 11:48:55 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
56 06-08-2010 ~ 11:48:58 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
57 06-08-2010 ~ 11:48:59 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
58 06-08-2010 ~ 11:48:59 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
59 06-08-2010 ~ 11:49:02 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
60 06-08-2010 ~ 11:49:03 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
61 06-08-2010 ~ 11:49:04 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
62 06-08-2010 ~ 11:49:05 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
63 06-08-2010 ~ 11:49:06 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
64 06-08-2010 ~ 11:49:08 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
65 06-08-2010 ~ 11:49:09 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
66 06-08-2010 ~ 11:49:10 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
67 06-08-2010 ~ 11:49:13 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
68 06-08-2010 ~ 11:49:13 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
69 06-08-2010 ~ 11:49:14 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
70 06-08-2010 ~ 11:49:16 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
71 06-08-2010 ~ 11:49:16 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
72 06-08-2010 ~ 11:49:19 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
73 06-08-2010 ~ 11:49:20 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
74 06-08-2010 ~ 11:49:20 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
75 06-08-2010 ~ 11:49:23 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
76 06-08-2010 ~ 11:49:24 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
77 06-08-2010 ~ 11:49:25 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
78 06-08-2010 ~ 11:49:26 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
79 06-08-2010 ~ 11:49:27 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
80 06-08-2010 ~ 11:49:29 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
81 06-08-2010 ~ 11:49:30 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
82 06-08-2010 ~ 11:49:31 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
83 06-08-2010 ~ 11:49:34 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
84 06-08-2010 ~ 11:49:34 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
85 06-08-2010 ~ 11:49:35 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
86 06-08-2010 ~ 11:49:37 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
87 06-08-2010 ~ 11:49:37 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
88 06-08-2010 ~ 11:49:40 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
89 06-08-2010 ~ 11:49:41 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
90 06-08-2010 ~ 11:49:41 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
91 06-08-2010 ~ 11:49:44 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
92 06-08-2010 ~ 11:49:45 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
93 06-08-2010 ~ 11:49:46 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
94 06-08-2010 ~ 11:49:47 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
95 06-08-2010 ~ 11:49:48 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
96 06-08-2010 ~ 11:49:50 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
97 06-08-2010 ~ 11:49:51 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
98 06-08-2010 ~ 11:49:52 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
99 06-08-2010 ~ 11:49:55 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
100 06-08-2010 ~ 11:49:55 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
101 06-08-2010 ~ 11:49:56 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
102 06-08-2010 ~ 11:49:58 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
103 06-08-2010 ~ 11:49:58 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
104 06-08-2010 ~ 11:50:01 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
105 06-08-2010 ~ 11:50:02 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
106 06-08-2010 ~ 11:50:02 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
107 06-08-2010 ~ 11:50:05 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
108 06-08-2010 ~ 11:50:06 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
109 06-08-2010 ~ 11:50:07 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
110 06-08-2010 ~ 11:50:08 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
111 06-08-2010 ~ 11:50:09 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
112 06-08-2010 ~ 11:50:11 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
113 06-08-2010 ~ 11:50:12 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
114 06-08-2010 ~ 11:50:13 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
115 06-08-2010 ~ 11:50:16 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
116 06-08-2010 ~ 11:50:16 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
117 06-08-2010 ~ 11:50:17 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
118 06-08-2010 ~ 11:50:19 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
119 06-08-2010 ~ 11:50:19 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
120 06-08-2010 ~ 11:50:22 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
121 06-08-2010 ~ 11:50:23 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
122 06-08-2010 ~ 11:50:23 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
123 06-08-2010 ~ 11:50:26 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
124 06-08-2010 ~ 11:50:27 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
125 06-08-2010 ~ 11:50:28 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
126 06-08-2010 ~ 11:50:29 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
127 06-08-2010 ~ 11:50:30 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
128 06-08-2010 ~ 11:50:32 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
129 06-08-2010 ~ 11:50:33 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
130 06-08-2010 ~ 11:50:34 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
131 06-08-2010 ~ 11:50:37 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
132 06-08-2010 ~ 11:50:37 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
133 06-08-2010 ~ 11:50:38 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
134 06-08-2010 ~ 11:50:40 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
135 06-08-2010 ~ 11:50:40 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
136 06-08-2010 ~ 11:50:43 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
137 06-08-2010 ~ 11:50:44 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
138 06-08-2010 ~ 11:50:44 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
139 06-08-2010 ~ 11:50:47 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                   
